,SRH,Mex American,Hispanic,White,Black,Citizen,HS diploma,some college,college grad,$75k+
SRH,1,0.17,0.03,-0.2,0.06,-0.12,0.03,-0.08,-0.25,-0.23
Mex American,0.17,1,-0.13,-0.49,-0.25,-0.44,-0.06,-0.1,-0.16,-0.12
Hispanic,0.03,-0.13,1,-0.26,-0.13,-0.14,-0.02,-0.01,-0.04,-0.04
White,-0.2,-0.49,-0.26,1,-0.5,0.33,0.06,0.05,0.17,0.16
Black,0.06,-0.25,-0.13,-0.5,1,0.14,0.01,0.04,-0.07,-0.06
Citizen,-0.12,-0.44,-0.14,0.33,0.14,1,0.08,0.12,0.09,0.12
HS diploma,0.03,-0.06,-0.02,0.06,0.01,0.08,1,-0.35,-0.29,-0.1
some college,-0.08,-0.1,-0.01,0.05,0.04,0.12,-0.35,1,-0.32,0.04
college grad,-0.25,-0.16,-0.04,0.17,-0.07,0.09,-0.29,-0.32,1,0.33
$75k+,-0.23,-0.12,-0.04,0.16,-0.06,0.12,-0.1,0.04,0.33,1
